wallet_id,block_number,token_symbol,value,to_address,from_address
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,22719696,FREEROMAN,210345000000.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc6b602de080fc9ac9d96a431b2d749d38e77cbbc
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,20700476,$ ETH35.com - Visit to claim bonus rewards,9283.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,20250492,ETHG,2000000.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3fc29836e84e471a053d2d9e80494a867d670ead
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,20147856,$ EthAave.com - Visit to claim staking rewards,100.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,19622009,Get $FUN reward at https://funvaults.com,78400.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,19494120,GRT Voucher Token | thegraphs.org,758.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc944e90c64b2c07662a292be6244bdf05cda44a7
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,19453496,Claim $METIS Reward at https://metishubs.com,2.5,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,19102762,Visit graphnetwork.org to claim rewards,35000.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc944e90c64b2c07662a292be6244bdf05cda44a7
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,19012284,Visit makertoken.net to claim rewards,1.5,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18995321,Visit fraxnetwork.com to claim rewards,2382.23,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x853d955acef822db058eb8505911ed77f175b99e
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18967396,Visit usdgift.org to claim rewards,3999.99,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18853062,Visit LqETH.com to claim rewards,1.7,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18190534,Visit https://aeth.trade to claim rewards,1.4,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18161156,HQG,0.0001,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x850e74dd9a2952b1ada253d355a091b97bcce1ef
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18068073,Visit https://usd2023.com to claim rewards,3999.9900000000002,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,18009550,Reward Claim Position - https://BLEXfi.org,1404.0,0x003a701c53ca4f6851cce9ead087b285d430bd8b,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17953039,UꓢDC,320.0,0x4363fdf29b3539b6a7f83be9a8d96ca18b61df1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17952922,UꓢDC,20000.0,0x5becda2850c4ee05c6773ad7df211cbb41ebcba7,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17918798,USDС,320.0,0x4362b5af71a8ca677dc53e7e9937aab9bb0adf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17918795,USDC,0.0,0x43635ef152552e48ee972434b26895e64aaadf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17918795,USDC,320.0,0x43635ef152552e48ee972434b26895e64aaadf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17893358,USDC,0.0,0x43635ef152552e48ee972434b26895e64aaadf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17893358,USDC,320.0,0x43635ef152552e48ee972434b26895e64aaadf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17893343,USDC,320.0,0x43632784400a5d8845e4ce8c598de08a463edf1e,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17886012,USDC,20000.0,0x5bec485123821c065455ae847fe8485368a2cba7,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17880108,USDT,1.0,0x000000c6a7c2141afc9c084eb1162972f4c25949,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17714820,sfrxETH,0.953124116401936,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0000000000000000000000000000000000000000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17611969,Receive rewards via https://ausd.pro,471.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xd7fad9dc27a916b4cab7fe57fb6047fcf459ab4a
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17537724,USDC,13096.17,0x34e158883efc81c5d92fde785fba48db738711ee,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17283361,kUSDC.org,382.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17248063,USDC,0.0,0x67992b29addcd63544f09814bba1acdfe2e89506,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
